195.7700,194.8800,195.6700,196.0900,197.3030,197.3987,197.7700,197.5000,197.2559,198.0300,197.7500,197.2800,197.2350,198.5000
197.9000,199.6800,199.9300,201.3500,201.3200,201.2000,201.6500,201.3700,201.2600,201.2100,201.4800,202.2200,202.0500,203.5000
203.0000,202.7300,204.0000,204.4904,204.4200,204.9000,204.9562,204.7600,204.9400,205.3300,205.7000,205.6040,206.1750,204.6600
205.6900,207.4300,206.6000,207.7000,206.2800,207.0307,207.5000,207.8800,207.8450,207.6150,207.6900,207.7216,207.2900,206.2100
208.7000,209.0250,209.3000,209.9550,210.8200,210.5850,210.1700,210.9274,210.7300,210.7800,210.3600,210.5300,210.7500,210.6900
210.2600,212.4600,210.5300,211.1000,209.3900,210.9050,211.1015,211.6550,210.9343,210.7800,211.5900,212.4700,212.7800,212.8400
216.3700,215.6200,214.4600,212.0400,212.1700,212.7900,213.4700,213.6480,213.7200,213.2000,214.2400,214.1474,213.5900,214.4000
213.5000,212.1700,212.5825,212.5900,212.6800,212.9200,212.6500,213.0101,213.1400,213.0900,213.1300,213.6750,213.3500,213.6500
214.4700,214.4400,214.4998,214.5000,215.3700,215.0400,215.4400,214.1213,215.0100,214.0200,211.7000,212.3860,209.3100,207.1000
206.6100,204.0000,204.7000,205.0120,205.5750,206.0600,206.3900,205.9100,206.4900,206.6078,207.4182,206.9400,206.7700,208.3900
209.7700,209.9150,210.3500,209.2500,208.7700,206.2000,206.0759,207.1100,206.7900,206.9647,207.9200,207.0650,207.4100,208.0500
205.3200,204.8200,204.1250,203.0499,203.2010,203.8400,203.4100,203.6800,204.0100,203.8500,204.1000,203.3300,204.2701,203.9200
204.4600,202.8200,201.7600,202.5600,202.6826,202.2499,202.6100,202.6899,202.5000,202.2000,202.6000,202.9000,203.1390,202.8700
205.0100,205.7700,206.9400,206.7800,207.5400,208.5600,208.0726,208.4900,209.0031,209.4100,210.1250,210.5200,211.5500,211.4900
213.9900,211.8700,211.5300,210.6900,210.3850,209.3300,209.7600,210.0733,210.0450,210.8300,211.2900,210.7300,209.2850,208.7500
209.1400,210.4100,210.3150,209.4699,210.2705,210.5000,211.1500,210.9500,209.9000,209.6400,210.4000,210.5580,210.7000,211.7533
207.1100,209.6531,208.6534,207.8100,207.4100,207.6400,205.5900,205.6050,205.1850,204.4400,203.2000,203.1300,202.8100,202.6000
200.4200,199.7500,201.4067,202.0600,202.4038,202.4950,201.7800,201.0200,201.1326,201.9600,202.7500,201.7300,201.2600,201.3000
201.3800,202.8100,201.0250,202.6001,201.6400,201.9500,201.7100,202.1850,202.8400,202.6400,203.3700,202.9100,203.8400,203.8500
